Title,URL,Sentence,Label,Score
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Major firms, most famously Lehman Brothers, had just collapsed or required bailouts.",Systemic_Risk_Management,0.894206166267395
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Crypto prices soared – like, really soared – as idealists who embraced the idea of decentralization and cutting out middlemen in finance harnessed Satoshi's ideas, made them real and extended them.",Competitive_Behavior,0.8981125354766846
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Take, for instance, the story of the moment (excluding Sam Bankman-Fried's ongoing criminal fraud trial).",Business_Ethics,0.9665117859840393
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"(CME's product is a cash-settled futures contract, essentially a side bet on bitcoin's price; no BTC changes hands).",Competitive_Behavior,0.9021412134170532
Bitcoin and Crypto Closing Out Lame Quarter and One Analyst Believes More Pain Could Be in Store,https://www.coindesk.com/markets/2024/06/28/bitcoin-and-crypto-closing-out-lame-quarter-and-one-analyst-believes-more-pain-could-be-in-store/,"Dragged down by even larger declines in many altcoins, the broader CoinDesk Index fell more than 21% during the last three months.",Systemic_Risk_Management,0.9236332178115845
"Bitcoin's Potential Rebound May Face Resistance at $65K, OnChain Analysis Shows",https://www.coindesk.com/markets/2024/07/01/bitcoins-potential-rebound-may-face-resistance-at-65k-onchain-analysis-shows/,"As bitcoin (BTC) looks to recover from the July loss, new challenges loom, with onchain data suggesting a potential resistance at $65,000.",Systemic_Risk_Management,0.8511775135993958
"Bitcoin's Potential Rebound May Face Resistance at $65K, OnChain Analysis Shows",https://www.coindesk.com/markets/2024/07/01/bitcoins-potential-rebound-may-face-resistance-at-65k-onchain-analysis-shows/,"The leading cryptocurrency by market value traded nearly 1% higher at $63,200 as of writing, looking to regain some poise after ending June with a 7% loss.",Systemic_Risk_Management,0.869234561920166
"Bitcoin's Potential Rebound May Face Resistance at $65K, OnChain Analysis Shows",https://www.coindesk.com/markets/2024/07/01/bitcoins-potential-rebound-may-face-resistance-at-65k-onchain-analysis-shows/,"""During the 2017 cycle BTC had 10 drawdowns of 20% or more.",Systemic_Risk_Management,0.8579534292221069
First Mover Americas: Bitcoin Awaits PCE Inflation Report,https://www.coindesk.com/markets/2024/06/28/first-mover-americas-bitcoin-awaits-pce-inflation-report/,"A Trump victory in November could signal a shift toward more favorable regulatory conditions for the crypto industry, according to analysts at Bitfinex.",Management_Of_Legal_And_Regulatory_Framework,0.9211841821670532
First Mover Americas: Bitcoin Awaits PCE Inflation Report,https://www.coindesk.com/markets/2024/06/28/first-mover-americas-bitcoin-awaits-pce-inflation-report/,"“A Trump administration might prioritize creating a clear and supportive regulatory framework, encouraging innovation and investment in the crypto sector.",Management_Of_Legal_And_Regulatory_Framework,0.9059977531433105
"CoinDesk Wins a Polk Award, One of Journalism's Top Prizes, for Explosive FTX Coverage",https://www.coindesk.com/business/2023/02/20/coindesk-wins-a-polk-award-a-top-journalism-prize-for-explosive-ftx-coverage/,"The piece raised concerns about nepotism, secrecy and conflicts of interest, previewing the tone of a scathing report issued soon after on FTX’s extremely lax administrative procedures.",Business_Ethics,0.9469205141067505
"Protocol Village: Crypto Losses From Hacks, Rug Pulls Doubled to $572M in Q2: Immunefi Report",https://www.coindesk.com/tech/2024/06/27/protocol-village/,"June 27: Immunefi, an on-chain crowd-sourced security platform, released its ""Crypto Losses in Q2 2024 report,"" showing a loss of $572 million to hacks and rug pulls in Q2 2024, a 112% increase compared to the same period in 2023.",Data_Security,0.9229177236557007
"Protocol Village: Crypto Losses From Hacks, Rug Pulls Doubled to $572M in Q2: Immunefi Report",https://www.coindesk.com/tech/2024/06/27/protocol-village/,"The UTXO model is essential for maintaining the security and integrity of blockchain networks and solves the double-spend problem.... Xiaohui Liu, founder and CEO at sCrypt, said, 'Historically, Web3 applications have been largely built on account-based blockchains like Ethereum and Solana.",Data_Security,0.8519816398620605
"Protocol Village: Crypto Losses From Hacks, Rug Pulls Doubled to $572M in Q2: Immunefi Report",https://www.coindesk.com/tech/2024/06/27/protocol-village/,"June 27: BVNK has launched Layer1, a self-custody infrastructure for stablecoin payments, ""enabling fintechs to enter the market swiftly while ensuring data privacy,"" according to the team: ""Layer1 simplifies blockchain payment infrastructure by handling wallet and asset management, reconciliation and third-party integrations.",Data_Security,0.9340819716453552
"Protocol Village: Crypto Losses From Hacks, Rug Pulls Doubled to $572M in Q2: Immunefi Report",https://www.coindesk.com/tech/2024/06/27/protocol-village/,"June 27: DFINITY Foundation, a major contributor to the Internet Computer Protocol (ICP) while also working on decentralized AI, has announced the launch of ""UTOPIA, aimed at tackling the $10 trillion global cybersecurity problem, through on-chain serverless clouds that offer unprecedented operational resilience and security,"" according to the team: ""This tech is crucial for high-risk, sensitive sectors such as defense, utilities and financial services, ensuring unbreakable security and 100% digital sovereignty.""",Data_Security,0.91560959815979
"Protocol Village: Crypto Losses From Hacks, Rug Pulls Doubled to $572M in Q2: Immunefi Report",https://www.coindesk.com/tech/2024/06/27/protocol-village/,"June 27: Rarimo has unveiled RariMe, a competitor to Worldcoin, and an app that allows users to generate passport zero-knowledge proofs (ZKs) verifying their uniqueness without revealing their identity, the company announced on Thursday.",Customer_Privacy,0.9005649089813232
"Protocol Village: Crypto Losses From Hacks, Rug Pulls Doubled to $572M in Q2: Immunefi Report",https://www.coindesk.com/tech/2024/06/27/protocol-village/,Identify frameworks usually have a third party approve credentials but ZKs ensure no personal data is shared while verifying identities.,Customer_Privacy,0.9530013799667358
"Protocol Village: Crypto Losses From Hacks, Rug Pulls Doubled to $572M in Q2: Immunefi Report",https://www.coindesk.com/tech/2024/06/27/protocol-village/,"June 27: Superchain Network and Anyone Protocol have joined forces to revolutionize privacy management in decentralized environments, according to the team: ""Leveraging Anyone Protocol’s DePIN Network ‘Anon’ and Superchain Network's useable data, this partnership ensures unparalleled security, privacy, speed and data sovereignty.",Data_Security,0.9530361294746399
"Protocol Village: Crypto Losses From Hacks, Rug Pulls Doubled to $572M in Q2: Immunefi Report",https://www.coindesk.com/tech/2024/06/27/protocol-village/,"It addresses critical privacy issues in the crypto space, where current data providers expose clients to metadata logging and inference attempts, posing major privacy risks and compromising business confidentiality.""",Data_Security,0.955997109413147
